Model,Strategy,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,Macro_F1,Balanced_Accuracy,Fail_Recall,Fail_Precision,Pass_Recall
Logistic Regression,Best Threshold=0.80,0.997,0.9973,0.997,0.9971,0.9326,0.9631,0.9286,0.8125,0.9977
Logistic Regression,GridSearchCV,0.9962,0.996,0.9962,0.996,0.899,0.8568,0.7143,0.9091,0.9992
Logistic Regression,SMOTE,0.9932,0.9952,0.9932,0.9939,0.8697,0.9612,0.9286,0.619,0.9939
Logistic Regression,Class Weight Balanced,0.9887,0.9945,0.9887,0.9906,0.8227,0.9943,1.0,0.4828,0.9885
SVM,Class Weight Balanced,0.9924,0.9919,0.9924,0.9921,0.8058,0.7842,0.5714,0.6667,0.9969
Random Forest,GridSearchCV,0.9826,0.9891,0.9826,0.9853,0.7151,0.8145,0.6429,0.3333,0.9862
Decision Tree,Class Weight Balanced,0.9864,0.9854,0.9864,0.9859,0.6504,0.6398,0.2857,0.3333,0.9939
Decision Tree,SMOTE,0.9803,0.9839,0.9803,0.982,0.6127,0.6367,0.2857,0.2,0.9878
Decision Tree,GridSearchCV,0.9818,0.9831,0.9818,0.9824,0.5954,0.6022,0.2143,0.1875,0.9901
Random Forest,Class Weight Balanced,0.9894,0.9789,0.9894,0.9841,0.4973,0.5,0.0,0.0,1.0
Random Forest,SMOTE,0.9894,0.9789,0.9894,0.9841,0.4973,0.5,0.0,0.0,1.0
