Feature,Type
Hours_Studied,Numerical
Attendance,Numerical
Sleep_Hours,Numerical
Previous_Scores,Numerical
Tutoring_Sessions,Numerical
Physical_Activity,Numerical
Parental_Involvement,Categorical
Access_to_Resources,Categorical
Extracurricular_Activities,Categorical
Motivation_Level,Categorical
Internet_Access,Categorical
Family_Income,Categorical
Teacher_Quality,Categorical
School_Type,Categorical
Peer_Influence,Categorical
Learning_Disabilities,Categorical
Parental_Education_Level,Categorical
Distance_from_Home,Categorical
Gender,Categorical
