Feature,Coefficient,Absolute_Coefficient
Attendance,13.868543316792115,13.868543316792115
Hours_Studied,10.588134970900253,10.588134970900253
Parental_Involvement_High,7.6505898325538135,7.6505898325538135
Access_to_Resources_High,7.385644206506375,7.385644206506375
Learning_Disabilities_No,7.072531590706385,7.072531590706385
Parental_Education_Level_Postgraduate,6.766650608672264,6.766650608672264
Family_Income_High,6.322646188954877,6.322646188954877
Distance_from_Home_Near,6.025505857081808,6.025505857081808
Internet_Access_Yes,5.952487718211766,5.952487718211766
Teacher_Quality_High,5.902343552158646,5.902343552158646
Motivation_Level_High,5.737790850461602,5.737790850461602
Parental_Involvement_Low,-4.834188651213332,4.834188651213332
Previous_Scores,4.555388933198504,4.555388933198504
Extracurricular_Activities_Yes,4.506808022925952,4.506808022925952
Peer_Influence_Positive,4.325140951459651,4.325140951459651
Access_to_Resources_Low,-4.133471054134676,4.133471054134676
Gender_Male,3.662456170532496,3.662456170532496
Parental_Involvement_Medium,3.6147287650044255,3.6147287650044255
School_Type_Public,3.356019584928788,3.356019584928788
Access_to_Resources_Medium,3.1789567939731924,3.1789567939731924
Tutoring_Sessions,3.090022020529742,3.090022020529742
School_Type_Private,3.0751103614163524,3.0751103614163524
Motivation_Level_Medium,3.0606975957614257,3.0606975957614257
Distance_from_Home_Moderate,2.819294121600643,2.819294121600643
Gender_Female,2.7686737758125717,2.7686737758125717
Distance_from_Home_Far,-2.4136700323374827,2.4136700323374827
Motivation_Level_Low,-2.3673584998781014,2.3673584998781014
Teacher_Quality_Medium,1.9566156288567218,1.9566156288567218
Peer_Influence_Neutral,1.9536706702726094,1.9536706702726094
Extracurricular_Activities_No,1.9243219234191393,1.9243219234191393
Parental_Education_Level_High School,-1.8664390719597113,1.8664390719597113
Physical_Activity,1.7786359077417355,1.7786359077417355
Parental_Education_Level_College,1.53091840963259,1.53091840963259
Teacher_Quality_Low,-1.4278292346702481,1.4278292346702481
Family_Income_Medium,1.1071188601457873,1.1071188601457873
Family_Income_Low,-0.9986351027556649,0.9986351027556649
Sleep_Hours,0.9154408224219431,0.9154408224219431
Learning_Disabilities_Yes,-0.6414016443613011,0.6414016443613011
Internet_Access_No,0.4786422281333689,0.4786422281333689
Peer_Influence_Negative,0.15231832461274206,0.15231832461274206
