Feature,Importance_Mean,Importance_STD
Hours_Studied,0.3397828291519975,0.037340401844896655
Attendance,0.32676748662702393,0.03247553935535353
Previous_Scores,0.12547529667880747,0.03504021999923093
Motivation_Level,0.11059069339227508,0.027673741214040384
Parental_Education_Level,0.10268356987034792,0.03396394591108769
Distance_from_Home,0.10262498374886761,0.02886560345474423
Parental_Involvement,0.09034933180159319,0.02994690573277131
Tutoring_Sessions,0.0863244469051651,0.036488214613195395
Access_to_Resources,0.08296915603167071,0.03196384616122553
Peer_Influence,0.06594291124768381,0.012159451683767624
Teacher_Quality,0.06172216496990844,0.028035089275038717
Physical_Activity,0.05527600222045552,0.02106769452005996
Family_Income,0.049060269355383324,0.032428282127825635
Extracurricular_Activities,0.04581874420416734,0.009676834771714342
Learning_Disabilities,0.03181112158429015,0.018139467772683944
Internet_Access,0.01933526413791885,0.013179075051814497
School_Type,0.011838685133113059,0.009666245933866712
Sleep_Hours,0.011572480648081807,0.023967370076404062
Gender,-0.018587701922605504,0.01178437360800755
